cohort	label	config	runtime_family	scenario_set	scenario_count	trials	expected_trajectories	source	cell	description	tags
context_all31x3_full	PE_M_32K	configs/config_universe/generated/context_all31x3_full/pe_m_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_M_32K	Plan-Execute MCP baseline; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_M_8K	configs/config_universe/generated/context_all31x3_full/pe_m_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_M_8K	Plan-Execute MCP baseline; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_D_16K	configs/config_universe/generated/context_all31x3_full/pe_s_d_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_D_16K	Plan-Execute plus Self-Ask with local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_D_32K	configs/config_universe/generated/context_all31x3_full/pe_s_d_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_D_32K	Plan-Execute plus Self-Ask with local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_D_8K	configs/config_universe/generated/context_all31x3_full/pe_s_d_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_D_8K	Plan-Execute plus Self-Ask with local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_M_16K	configs/config_universe/generated/context_all31x3_full/pe_s_m_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_M_16K	Plan-Execute plus Self-Ask on MCP baseline; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_M_32K	configs/config_universe/generated/context_all31x3_full/pe_s_m_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_M_32K	Plan-Execute plus Self-Ask on MCP baseline; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_M_8K	configs/config_universe/generated/context_all31x3_full/pe_s_m_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_M_8K	Plan-Execute plus Self-Ask on MCP baseline; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_TD_16K	configs/config_universe/generated/context_all31x3_full/pe_s_td_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_TD_16K	Plan-Execute plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_TD_32K	configs/config_universe/generated/context_all31x3_full/pe_s_td_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_TD_32K	Plan-Execute plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_TD_8K	configs/config_universe/generated/context_all31x3_full/pe_s_td_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_TD_8K	Plan-Execute plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_T_16K	configs/config_universe/generated/context_all31x3_full/pe_s_t_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_T_16K	Plan-Execute plus Self-Ask with optimized MCP transport; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_T_32K	configs/config_universe/generated/context_all31x3_full/pe_s_t_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_T_32K	Plan-Execute plus Self-Ask with optimized MCP transport; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_S_T_8K	configs/config_universe/generated/context_all31x3_full/pe_s_t_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_T_8K	Plan-Execute plus Self-Ask with optimized MCP transport; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_TD_16K	configs/config_universe/generated/context_all31x3_full/pe_td_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_TD_16K	Plan-Execute optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_TD_32K	configs/config_universe/generated/context_all31x3_full/pe_td_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_TD_32K	Plan-Execute optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_TD_8K	configs/config_universe/generated/context_all31x3_full/pe_td_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_TD_8K	Plan-Execute optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_T_16K	configs/config_universe/generated/context_all31x3_full/pe_t_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_T_16K	Plan-Execute optimized MCP transport; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_T_32K	configs/config_universe/generated/context_all31x3_full/pe_t_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_T_32K	Plan-Execute optimized MCP transport; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_T_8K	configs/config_universe/generated/context_all31x3_full/pe_t_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_T_8K	Plan-Execute optimized MCP transport; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_D_16K	configs/config_universe/generated/context_all31x3_full/v_d_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_D_16K	Verified PE with local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_D_32K	configs/config_universe/generated/context_all31x3_full/v_d_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_D_32K	Verified PE with local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_D_8K	configs/config_universe/generated/context_all31x3_full/v_d_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_D_8K	Verified PE with local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_M_16K	configs/config_universe/generated/context_all31x3_full/v_m_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_M_16K	Verified PE MCP baseline; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_M_32K	configs/config_universe/generated/context_all31x3_full/v_m_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_M_32K	Verified PE MCP baseline; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_M_8K	configs/config_universe/generated/context_all31x3_full/v_m_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_M_8K	Verified PE MCP baseline; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_D_16K	configs/config_universe/generated/context_all31x3_full/v_s_d_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_D_16K	Verified PE plus Self-Ask with local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_D_32K	configs/config_universe/generated/context_all31x3_full/v_s_d_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_D_32K	Verified PE plus Self-Ask with local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_D_8K	configs/config_universe/generated/context_all31x3_full/v_s_d_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_D_8K	Verified PE plus Self-Ask with local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_M_16K	configs/config_universe/generated/context_all31x3_full/v_s_m_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_M_16K	Verified PE plus Self-Ask on MCP baseline; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_M_32K	configs/config_universe/generated/context_all31x3_full/v_s_m_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_M_32K	Verified PE plus Self-Ask on MCP baseline; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_M_8K	configs/config_universe/generated/context_all31x3_full/v_s_m_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_M_8K	Verified PE plus Self-Ask on MCP baseline; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_TD_16K	configs/config_universe/generated/context_all31x3_full/v_s_td_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_TD_16K	Verified PE plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_TD_32K	configs/config_universe/generated/context_all31x3_full/v_s_td_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_TD_32K	Verified PE plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_TD_8K	configs/config_universe/generated/context_all31x3_full/v_s_td_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_TD_8K	Verified PE plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_T_16K	configs/config_universe/generated/context_all31x3_full/v_s_t_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_T_16K	Verified PE plus Self-Ask with optimized MCP transport; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_T_32K	configs/config_universe/generated/context_all31x3_full/v_s_t_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_T_32K	Verified PE plus Self-Ask with optimized MCP transport; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_S_T_8K	configs/config_universe/generated/context_all31x3_full/v_s_t_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_T_8K	Verified PE plus Self-Ask with optimized MCP transport; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_TD_16K	configs/config_universe/generated/context_all31x3_full/v_td_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_TD_16K	Verified PE optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_TD_32K	configs/config_universe/generated/context_all31x3_full/v_td_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_TD_32K	Verified PE optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_TD_8K	configs/config_universe/generated/context_all31x3_full/v_td_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_TD_8K	Verified PE optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_T_16K	configs/config_universe/generated/context_all31x3_full/v_t_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_T_16K	Verified PE optimized MCP transport; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_T_32K	configs/config_universe/generated/context_all31x3_full/v_t_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_T_32K	Verified PE optimized MCP transport; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	V_T_8K	configs/config_universe/generated/context_all31x3_full/v_t_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_T_8K	Verified PE optimized MCP transport; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
decoding_all31x3	AT_I_TEMP02	configs/config_universe/generated/decoding_all31x3/at_i_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/aat_direct.env	AT_I_T02	AaT direct Python tools; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	AT_I_TEMP07	configs/config_universe/generated/decoding_all31x3/at_i_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/aat_direct.env	AT_I_T07	AaT direct Python tools; decoding temperature 0.7	config_universe,decoding_ablation
decoding_all31x3	AT_M_TEMP02	configs/config_universe/generated/decoding_all31x3/at_m_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_baseline.env	AT_M_T02	AaT MCP baseline transport; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	AT_M_TEMP07	configs/config_universe/generated/decoding_all31x3/at_m_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_baseline.env	AT_M_T07	AaT MCP baseline transport; decoding temperature 0.7	config_universe,decoding_ablation
decoding_all31x3	AT_T_TEMP02	configs/config_universe/generated/decoding_all31x3/at_t_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_optimized.env	AT_T_T02	AaT optimized MCP transport plus prefix caching; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	AT_T_TEMP07	configs/config_universe/generated/decoding_all31x3/at_t_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_optimized.env	AT_T_T07	AaT optimized MCP transport plus prefix caching; decoding temperature 0.7	config_universe,decoding_ablation
decoding_all31x3	PE_M_TEMP02	configs/config_universe/generated/decoding_all31x3/pe_m_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_M_T02	Plan-Execute MCP baseline; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	PE_M_TEMP07	configs/config_universe/generated/decoding_all31x3/pe_m_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_M_T07	Plan-Execute MCP baseline; decoding temperature 0.7	config_universe,decoding_ablation
decoding_all31x3	PE_S_M_TEMP02	configs/config_universe/generated/decoding_all31x3/pe_s_m_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_M_T02	Plan-Execute plus Self-Ask on MCP baseline; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	PE_S_M_TEMP07	configs/config_universe/generated/decoding_all31x3/pe_s_m_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_M_T07	Plan-Execute plus Self-Ask on MCP baseline; decoding temperature 0.7	config_universe,decoding_ablation
decoding_all31x3	V_M_TEMP02	configs/config_universe/generated/decoding_all31x3/v_m_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_M_T02	Verified PE MCP baseline; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	V_M_TEMP07	configs/config_universe/generated/decoding_all31x3/v_m_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_mcp_baseline.env	V_M_T07	Verified PE MCP baseline; decoding temperature 0.7	config_universe,decoding_ablation
decoding_all31x3	V_S_M_TEMP02	configs/config_universe/generated/decoding_all31x3/v_s_m_temp02.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_M_T02	Verified PE plus Self-Ask on MCP baseline; decoding temperature 0.2	config_universe,decoding_ablation
decoding_all31x3	V_S_M_TEMP07	configs/config_universe/generated/decoding_all31x3/v_s_m_temp07.env	config_universe_decoding_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Z_verified_pe_self_ask_mcp_baseline.env	V_S_M_T07	Verified PE plus Self-Ask on MCP baseline; decoding temperature 0.7	config_universe,decoding_ablation
local_all31x5_full	AT_D	configs/config_universe/generated/local_all31x5_full/at_d.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/aat_mcp_model_optimized.env	AT_D	AaT optimized MCP plus local INT8/BF16/fp8KV serving	config_universe,local8b,full_cross_product
local_all31x5_full	AT_I	configs/config_universe/generated/local_all31x5_full/at_i.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/aat_direct.env	AT_I	AaT direct Python tools	config_universe,local8b,full_cross_product
local_all31x5_full	AT_M	configs/config_universe/generated/local_all31x5_full/at_m.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/aat_mcp_baseline.env	AT_M	AaT MCP baseline transport	config_universe,local8b,full_cross_product
local_all31x5_full	AT_T	configs/config_universe/generated/local_all31x5_full/at_t.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/aat_mcp_optimized.env	AT_T	AaT optimized MCP transport plus prefix caching	config_universe,local8b,full_cross_product
local_all31x5_full	PE_D	configs/config_universe/generated/local_all31x5_full/pe_d.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_D	Plan-Execute with local INT8/BF16/fp8KV serving	config_universe,local8b,full_cross_product
local_all31x5_full	PE_M	configs/config_universe/generated/local_all31x5_full/pe_m.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_M	Plan-Execute MCP baseline	config_universe,local8b,full_cross_product
local_all31x5_full	PE_S_D	configs/config_universe/generated/local_all31x5_full/pe_s_d.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_D	Plan-Execute plus Self-Ask with local INT8/BF16/fp8KV serving	config_universe,local8b,full_cross_product
local_all31x5_full	PE_S_M	configs/config_universe/generated/local_all31x5_full/pe_s_m.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_M	Plan-Execute plus Self-Ask on MCP baseline	config_universe,local8b,full_cross_product
local_all31x5_full	PE_S_T	configs/config_universe/generated/local_all31x5_full/pe_s_t.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_T	Plan-Execute plus Self-Ask with optimized MCP transport	config_universe,local8b,full_cross_product
local_all31x5_full	PE_S_TD	configs/config_universe/generated/local_all31x5_full/pe_s_td.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_self_ask_mcp_baseline.env	PE_S_TD	Plan-Execute plus Self-Ask, optimized MCP, and local INT8/BF16/fp8KV serving	config_universe,local8b,full_cross_product
local_all31x5_full	PE_T	configs/config_universe/generated/local_all31x5_full/pe_t.env	config_universe_local8b	smartgrid_all31_v1	31	5	155	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_T	Plan-Execute optimized MCP transport	config_universe,local8b,full_cross_product
